epoch,accuracy,loss,val_accuracy,val_loss
0,0.40769442915916443,1.3226743936538696,0.4149855971336365,1.290952205657959
1,0.5983946919441223,0.9705913066864014,0.47262248396873474,1.2710968255996704
2,0.6808746457099915,0.7627445459365845,0.49567723274230957,1.3903049230575562
3,0.7467478513717651,0.612928032875061,0.4985590875148773,1.3500590324401855
4,0.7879878282546997,0.5194030404090881,0.530259370803833,1.4442249536514282
5,0.8400221467018127,0.4125509262084961,0.5129683017730713,1.5491809844970703
6,0.8524771928787231,0.37734267115592957,0.5533141493797302,1.5154589414596558
7,0.8843066692352295,0.3008365333080292,0.5389049053192139,1.7371470928192139
8,0.9034043550491333,0.25902724266052246,0.5187320113182068,1.8192371129989624
9,0.9130915999412537,0.23220674693584442,0.5129683017730713,2.0445666313171387
10,0.9150290489196777,0.21800735592842102,0.5216138362884521,1.926717758178711
11,0.9341267347335815,0.18778547644615173,0.5475504398345947,1.959453821182251
12,0.9308054447174072,0.18915292620658875,0.530259370803833,1.9841649532318115
13,0.9382784366607666,0.17207986116409302,0.5331411957740784,2.1609466075897217
14,0.9391087889671326,0.16733328998088837,0.5504322648048401,2.300835371017456
15,0.9374480843544006,0.17298081517219543,0.5360230803489685,2.1527938842773438
16,0.9352338910102844,0.18852892518043518,0.5244956612586975,2.614163637161255
17,0.9407694339752197,0.17112372815608978,0.5216138362884521,2.4490013122558594
18,0.9518405795097351,0.1542510837316513,0.530259370803833,2.500124931335449
19,0.949903130531311,0.14290426671504974,0.5014409422874451,2.793067693710327
20,0.9582064747810364,0.13556087017059326,0.5360230803489685,2.323430299758911
21,0.9595903754234314,0.11250663548707962,0.5331411957740784,2.5950586795806885
22,0.9593135714530945,0.11406636238098145,0.5331411957740784,2.5210072994232178
23,0.9540547728538513,0.12573765218257904,0.5389049053192139,3.0495574474334717
24,0.9584832787513733,0.12000583112239838,0.5561959743499756,2.5757057666778564
