epoch,accuracy,loss,val_accuracy,val_loss
0,0.3706061542034149,1.3251599073410034,0.455331414937973,1.2782902717590332
1,0.6426792144775391,0.9790559411048889,0.639769434928894,0.9135942459106445
2,0.796567976474762,0.5728936195373535,0.6916426420211792,0.7613974213600159
3,0.8488790392875671,0.4146365225315094,0.6916426420211792,0.7819150686264038
4,0.8906725645065308,0.3209507167339325,0.6455331444740295,0.834458589553833
5,0.9092167019844055,0.2610251307487488,0.6829971075057983,0.863914966583252
6,0.9319125413894653,0.21883563697338104,0.6628242135047913,0.9378607869148254
7,0.945751428604126,0.18780358135700226,0.6829971075057983,0.9831957221031189
8,0.94768887758255,0.162081778049469,0.6685879230499268,1.0197657346725464
9,0.9579296708106995,0.13350719213485718,0.6858789920806885,1.0933823585510254
10,0.9656794667243958,0.12299936264753342,0.6714697480201721,1.122141718864441
11,0.9654027223587036,0.11412899941205978,0.680115282535553,1.1580932140350342
12,0.9676169157028198,0.10762125998735428,0.6772334575653076,1.1853039264678955
13,0.9709382653236389,0.09841573238372803,0.6743515729904175,1.2391260862350464
14,0.971491813659668,0.09313385933637619,0.6714697480201721,1.25260329246521
15,0.973429262638092,0.08486290276050568,0.6829971075057983,1.24495267868042
16,0.975089967250824,0.08188088983297348,0.6772334575653076,1.3009886741638184
17,0.9748131632804871,0.07936351001262665,0.6829971075057983,1.318169355392456
18,0.9745364189147949,0.0771481916308403,0.6829971075057983,1.3608454465866089
19,0.976473867893219,0.07299348711967468,0.6858789920806885,1.336113452911377
20,0.9753667116165161,0.0741438940167427,0.6858789920806885,1.3531750440597534
21,0.9781345129013062,0.06782972812652588,0.7031700015068054,1.3835608959197998
22,0.977027416229248,0.06385169923305511,0.6887608170509338,1.3958792686462402
23,0.9786880612373352,0.06155873462557793,0.6743515729904175,1.4694432020187378
24,0.977027416229248,0.061125583946704865,0.6743515729904175,1.462322473526001
